Group hierarchy	Region	Description	Service	Upfront	Monthly	First 12 months total	Currency	Configuration summary
My Estimate	US East (Ohio)		Application Load Balancer	0	220.83	2649.96	USD	Number of Application Load Balancers (1)
My Estimate	US East (N. Virginia)		VPN Connection	0	603.5	7242	USD	"Working days per month (22), Number of Site-to-Site VPN Connections (1), Number of subnet associations (4)"
My Estimate	US East (N. Virginia)		Amazon EC2	0	1900.86	22810.32	USD	"Operating system (Linux), Quantity (6), Pricing strategy (EC2 Instance Savings Plans 3 Year No Upfront), Storage amount (1000 GB), Instance type (m5a.4xlarge)"
My Estimate	US East (N. Virginia)		Amazon RDS for MySQL	29480	1278.914	44826.97	USD	"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1000 GB), Quantity (2), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 3yr Partial Upfront)"
My Estimate	US East (N. Virginia)		S3 Standard	0	25.75	309	USD	S3 Standard storage (1000 GB per month)
My Estimate	US East (N. Virginia)		Data Transfer	0	921.6	11059.2	USD	"DT Inbound: Internet (10 TB per month), DT Outbound: Internet (10 TB per month)"
								
								
								
Acknowledgement								
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."								
1st: Change ec2 term to 3 years\								
2nd: Change RDS term to 3year and reserved								
